"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"360","Malden",NA,"26,386","87.8%","82.2%","12.2%","19.3%",17.9,"4.4%","23.3%","7.3%","19.2%","14.6%",NA,"15,664","N","N","N","N","N","N",NA,"65,057",NA,"36.6%","14.7%","0.1%","28.1%","0.0%","6.1%","14.5%","11.9%","34.7%","MA"
"361","New Bedford",NA,"42,743","75.5%","73.8%","8.6%","10.8%",30,"9.4%","33.2%","6.5%","17.2%","13.0%",NA,"24,275","15.4%","44.9%","14.4%","12.0%","7.9%","5.5%",NA,"100,947",NA,"55.3%","4.3%","1.2%","1.3%","0.0%","20.1%","17.8%","25.5%","54.7%","MA"
"362","Newton",NA,"29,961","84.0%","80.7%","20.1%","42.1%",26.9,"2.6%","7.0%","3.7%","18.8%","10.1%",NA,"22,016","9.0%","25.3%","47.4%","7.0%","9.6%","1.7%",NA,"87,455",NA,"67.3%","2.6%","0.0%","14.3%","0.1%","4.0%","11.7%","4.7%","66.7%","MA"
"363","Quincy",NA,"44,051","81.3%","79.8%","8.9%","16.7%",25.3,"4.4%","19.5%","4.9%","15.8%","16.1%",NA,"23,472","13.9%","26.1%","31.3%","12.0%","10.7%","6.0%",NA,"101,131",NA,"54.7%","6.7%","0.0%","28.2%","0.1%","2.0%","8.4%","7.4%","54.2%","MA"
"364","Somerville",NA,"35,015","86.2%","85.1%","10.0%","29.0%",19.2,"3.4%","9.9%","3.7%","13.6%","12.8%",NA,"14,743","N","N","N","N","N","N",NA,"79,819",NA,"64.0%","3.3%","0.5%","13.5%","0.1%","7.5%","11.2%","15.4%","62.1%","MA"
"365","Springfield",NA,"57,806","66.1%","64.0%","6.2%","9.3%",31.8,"18.8%","39.4%","8.5%","16.2%","16.3%",NA,"35,715","22.7%","39.1%","15.1%","14.1%","5.2%","3.8%",NA,"154,788",NA,"34.1%","20.8%","0.5%","2.0%","0.0%","13.0%","29.6%","49.0%","27.7%","MA"
"366","Worcester",NA,"76,065","78.4%","76.8%","9.5%","12.7%",23.8,"9.0%","30.7%","5.9%","17.6%","16.5%",NA,"45,022","12.6%","35.2%","29.2%","8.9%","10.3%","3.9%",NA,"205,917",NA,"50.3%","15.3%","0.4%","5.7%","0.1%","9.4%","18.8%","26.6%","47.9%","MA"
"367","Wayne-Westland Community",NA,"36,913","73.9%","71.9%","7.8%","9.5%",32.2,"6.5%","21.7%","4.8%","24.5%","21.9%",NA,"20,031","18.2%","37.6%","19.3%","12.0%","7.8%","5.1%",NA,"86,261",NA,"65.3%","21.4%","1.7%","3.7%","0.0%","1.5%","6.5%","5.1%","64.0%","MI"
"368","Detroit Public Schools",NA,"251,729","66.6%","63.6%","7.6%","6.5%",33.1,"13.5%","40.8%","5.3%","22.5%","21.9%",NA,"132,517","22.2%","44.9%","9.5%","15.4%","3.4%","4.5%",NA,"632,589",NA,"11.2%","76.6%","0.4%","1.4%","0.0%","4.6%","5.7%","7.7%","10.3%","MI"
"369","Dearborn City",NA,"37,981","77.8%","72.8%","11.9%","18.5%",29.2,"8.9%","23.2%","5.3%","22.4%","18.3%",NA,"27,018","15.3%","38.2%","19.4%","14.1%","7.7%","5.4%",NA,"116,683",NA,"86.5%","4.3%","0.1%","1.9%","0.0%","1.6%","5.6%","3.4%","86.0%","MI"
"370","Farmington Public",NA,"36,903","79.7%","77.5%","9.1%","26.8%",28,"4.3%","7.3%","3.7%","24.4%","13.0%",NA,"22,829","N","N","N","N","N","N",NA,"85,337",NA,"62.6%","19.3%","0.1%","13.2%","0.0%","0.4%","4.4%","2.4%","61.8%","MI"
"371","Flint City",NA,"32,837","62.5%","58.8%","8.8%","7.8%",33.7,"15.3%","34.6%","4.3%","20.3%","17.5%",NA,"17,401","23.4%","36.5%","16.9%","15.1%","4.5%","3.5%",NA,"80,628",NA,"34.7%","56.3%","1.0%","0.6%","0.0%","0.6%","6.8%","4.7%","33.4%","MI"
"372","Kalamazoo Public",NA,"46,680","76.6%","73.4%","10.2%","15.1%",20.4,"6.0%","18.3%","5.0%","18.7%","14.4%",NA,"19,545","N","N","N","N","N","N",NA,"107,666",NA,"65.5%","19.6%","0.2%","2.8%","0.1%","4.3%","7.5%","8.0%","63.1%","MI"
"373","Lansing Public",NA,"53,528","76.0%","74.4%","7.4%","15.1%",28.1,"6.4%","21.8%","6.9%","23.2%","19.1%",NA,"26,046","17.1%","37.8%","24.3%","14.3%","5.3%","1.1%",NA,"117,541",NA,"56.7%","23.0%","0.7%","3.1%","0.0%","3.4%","13.1%","10.2%","55.4%","MI"
"374","Pontiac City",NA,"34,910","72.7%","69.4%","8.1%","10.6%",27.5,"7.1%","28.7%","4.4%","20.5%","22.6%",NA,"18,114","19.8%","38.9%","13.1%","15.9%","4.9%","7.5%",NA,"81,058",NA,"36.3%","38.6%","0.3%","3.5%","0.0%","6.5%","14.8%","16.5%","34.8%","MI"
"375","Port Huron Area",NA,"28,754","70.8%","68.4%","7.0%","15.0%",37.2,"6.8%","22.9%","3.4%","30.5%","19.7%",NA,"18,561","20.7%","37.5%","21.1%","10.0%","7.7%","3.1%",NA,"66,337",NA,"86.0%","4.0%","0.2%","1.4%","0.0%","2.2%","6.3%","6.4%","83.5%","MI"
"376","Rochester Community",NA,"36,494","81.6%","79.4%","11.4%","31.5%",26.8,"3.3%","5.1%","2.5%","22.7%","13.7%",NA,"26,649","13.2%","29.2%","36.2%","7.9%","10.7%","2.7%",NA,"98,867",NA,"74.5%","2.5%","0.1%","14.0%","0.0%","2.4%","6.4%","3.7%","74.0%","MI"
"377","Southfield Public",NA,"34,071","70.3%","68.6%","6.5%","14.6%",38,"5.8%","16.3%","2.7%","33.9%","18.7%",NA,"18,379","N","N","N","N","N","N",NA,"72,567",NA,"27.2%","64.9%","0.1%","1.9%","0.1%","0.7%","5.1%","1.8%","26.9%","MI"
"378","Taylor",NA,"24,886","76.1%","73.0%","5.5%","9.9%",36,"6.3%","22.6%","9.1%","24.5%","16.4%",NA,"16,568","17.1%","42.3%","18.2%","13.7%","5.2%","3.5%",NA,"68,125",NA,"63.9%","23.3%","0.1%","0.8%","0.0%","0.8%","11.0%","6.9%","63.7%","MI"
"379","Troy",NA,"26,314","80.3%","79.2%","9.5%","30.3%",29,"2.6%","9.1%","4.0%","25.5%","10.9%",NA,"19,268","14.3%","31.5%","32.3%","7.5%","9.7%","4.6%",NA,"68,071",NA,"55.4%","4.0%","0.4%","30.3%","0.0%","0.1%","9.8%","3.4%","54.8%","MI"
"380","Waterford",NA,"31,921","77.9%","74.6%","8.6%","17.2%",29.3,"3.3%","12.2%","3.6%","25.5%","18.3%",NA,"18,897","14.3%","31.0%","29.7%","11.6%","10.6%","2.8%",NA,"76,123",NA,"79.4%","5.7%","0.4%","1.1%","0.0%","1.5%","12.0%","8.9%","77.8%","MI"
"381","Anoka-Hennepin Public",NA,"92,681","81.0%","79.3%","9.2%","17.5%",30.2,"4.4%","8.6%","4.3%","26.5%","16.4%",NA,"66,652","13.1%","23.4%","37.5%","8.4%","14.2%","3.4%",NA,"258,019",NA,"73.3%","11.2%","0.3%","6.4%","0.0%","2.3%","6.4%","5.5%","72.4%","MN"
"382","Bloomington Public",NA,"38,725","74.6%","73.0%","6.7%","27.1%",32.3,"4.2%","8.8%","4.5%","30.2%","17.2%",NA,"22,215","13.4%","26.7%","36.0%","11.0%","9.0%","3.8%",NA,"89,308",NA,"66.8%","11.9%","0.5%","6.6%","0.0%","6.0%","8.2%","9.5%","65.3%","MN"
"383","Burnsville Public",NA,"30,483","83.3%","79.7%","10.0%","14.0%",28.8,"5.0%","8.8%","4.4%","23.8%","13.7%",NA,"18,743","11.9%","30.2%","35.9%","8.7%","6.4%","6.9%",NA,"73,464",NA,"61.4%","13.0%","0.3%","8.9%","0.0%","5.5%","10.9%","11.4%","61.0%","MN"
"384","Duluth Public",NA,"39,223","76.4%","74.7%","8.3%","21.1%",29.2,"3.6%","10.9%","2.8%","22.1%","19.3%",NA,"19,782","17.6%","30.1%","37.0%","8.5%","4.8%","2.0%",NA,"93,690",NA,"88.5%","1.8%","1.0%","2.0%","0.0%","1.0%","5.7%","2.2%","88.4%","MN"
"385","Elk River",NA,"28,862","87.3%","86.0%","7.7%","21.8%",24.4,"1.5%","2.3%","0.4%","20.0%","19.4%",NA,"N","N","N","N","N","N","N",NA,"82,270",NA,"82.7%","3.5%","0.0%","1.6%","0.0%","1.0%","11.2%","2.2%","82.3%","MN"
"386","Hopkins Public",NA,"31,314","76.7%","74.2%","10.5%","31.1%",31.2,"5.2%","11.2%","4.2%","26.4%","15.0%",NA,"15,238","15.5%","28.8%","34.8%","8.0%","8.0%","4.9%",NA,"67,136",NA,"74.8%","9.8%","0.2%","4.9%","0.0%","1.4%","9.0%","3.9%","74.2%","MN"
"387","Mankato Public",NA,"28,375","78.0%","76.7%","7.9%","20.1%",25.5,"4.2%","9.6%","4.8%","19.5%","13.2%",NA,"15,761","19.7%","21.0%","37.5%","10.1%","9.6%","2.0%",NA,"70,054",NA,"85.0%","4.0%","0.0%","2.9%","0.0%","1.4%","6.6%","4.6%","84.7%","MN"
"388","Minneapolis Public",NA,"188,681","83.6%","80.7%","14.0%","20.3%",19,"6.5%","15.9%","6.7%","15.8%","15.8%",NA,"76,857","8.2%","28.9%","41.2%","11.2%","7.2%","3.3%",NA,"425,338",NA,"62.4%","16.6%","0.7%","5.3%","0.0%","4.8%","10.2%","9.8%","61.1%","MN"
"389","Mounds View Public",NA,"31,511","78.5%","76.6%","9.3%","25.5%",29.8,"3.5%","9.5%","3.8%","26.7%","14.5%",NA,"20,119","15.3%","28.2%","38.7%","5.9%","8.9%","3.0%",NA,"80,525",NA,"74.0%","9.8%","0.7%","7.2%","0.0%","1.7%","6.6%","4.2%","73.3%","MN"
"390","North St. Paul-Maplewood-Oakdale",NA,"33,634","71.0%","68.8%","7.8%","21.1%",36.9,"4.2%","11.5%","6.7%","31.9%","13.5%",NA,"21,923","20.6%","22.5%","33.4%","11.1%","8.9%","3.5%",NA,"82,312",NA,"59.4%","12.1%","0.2%","14.6%","0.0%","4.7%","9.0%","6.8%","59.1%","MN"
"391","Osseo Public",NA,"58,037","84.3%","82.1%","10.7%","23.6%",24.7,"2.4%","9.0%","3.7%","20.4%","15.7%",NA,"37,573","10.8%","22.1%","45.3%","9.0%","11.2%","1.5%",NA,"153,305",NA,"57.8%","17.7%","0.3%","12.4%","0.0%","3.1%","8.8%","5.1%","57.3%","MN"
"392","Robbinsdale Public",NA,"44,061","79.0%","77.0%","11.7%","21.0%",29.4,"3.4%","11.5%","5.5%","21.0%","13.5%",NA,"25,971","14.7%","19.8%","40.0%","10.7%","13.3%","1.4%",NA,"101,797",NA,"67.5%","18.3%","0.3%","5.7%","0.1%","1.9%","6.3%","4.2%","66.7%","MN"
"393","Rochester Public",NA,"55,071","81.5%","80.5%","10.3%","22.7%",25.3,"3.9%","9.2%","4.9%","23.5%","13.9%",NA,"33,503","14.9%","26.7%","42.9%","7.6%","7.1%","0.9%",NA,"136,320",NA,"76.2%","8.9%","0.1%","6.7%","0.0%","2.5%","5.6%","5.5%","73.6%","MN"
"394","St. Cloud Public",NA,"42,155","80.6%","80.0%","7.9%","17.2%",24.4,"5.5%","13.2%","3.9%","21.9%","24.3%",NA,"24,029","14.4%","31.6%","30.3%","12.7%","9.3%","1.7%",NA,"105,777",NA,"73.4%","14.8%","0.7%","2.9%","0.1%","3.2%","4.9%","5.7%","72.7%","MN"
"395","South Washington County",NA,"40,714","82.7%","81.7%","7.4%","24.5%",22.9,"3.3%","5.9%","2.3%","21.3%","12.7%",NA,"30,194","14.2%","22.8%","35.6%","9.5%","11.8%","6.2%",NA,"114,610",NA,"75.6%","4.3%","0.0%","10.8%","0.1%","2.8%","6.4%","5.7%","74.8%","MN"
"396","St. Paul Public",NA,"121,964","79.9%","78.2%","9.8%","19.6%",24.8,"5.9%","18.8%","6.9%","18.9%","15.1%",NA,"65,008","12.0%","30.7%","29.4%","11.1%","9.7%","7.1%",NA,"307,176",NA,"52.7%","15.8%","0.4%","19.4%","0.0%","3.6%","8.2%","8.5%","51.6%","MN"
"397","Stillwater Area Public",NA,"24,818","80.1%","77.3%","15.2%","26.2%",32.1,"2.3%","5.1%","1.8%","28.0%","14.5%",NA,"18,516","N","N","N","N","N","N",NA,"66,824",NA,"83.4%","6.0%","0.4%","2.4%","0.0%","3.1%","4.6%","5.7%","83.0%","MN"
"398","Wayzata Public",NA,"27,221","78.9%","77.8%","12.8%","38.5%",27.8,"0.7%","4.3%","2.6%","24.3%","12.0%",NA,"18,749","N","N","N","N","N","N",NA,"71,016",NA,"76.5%","5.1%","0.0%","11.6%","0.1%","1.0%","5.9%","3.0%","76.2%","MN"
"399","DeSoto County",NA,"68,966","81.3%","78.3%","8.2%","14.0%",31.1,"4.6%","10.4%","2.3%","22.2%","9.6%",NA,"48,169","10.9%","36.8%","31.1%","10.7%","8.0%","2.4%",NA,"188,633",NA,"58.6%","31.4%","0.1%","0.8%","0.0%","3.6%","5.5%","5.3%","58.2%","MS"
"400","Harrison County",NA,"35,658","77.3%","75.5%","10.6%","11.5%",35.3,"9.6%","12.3%","2.6%","32.0%","20.5%",NA,"27,115","19.1%","38.8%","26.3%","9.6%","5.2%","1.0%",NA,"94,286",NA,"65.9%","20.9%","0.7%","2.7%","0.2%","0.1%","9.5%","3.8%","65.5%","MS"
"401","Jackson Public",NA,"61,055","72.1%","68.3%","11.0%","8.0%",31.2,"9.9%","20.4%","2.4%","16.7%","14.2%",NA,"34,416","15.2%","43.5%","15.0%","16.4%","4.6%","5.4%",NA,"146,596",NA,"14.5%","81.7%","0.4%","0.2%","0.0%","0.4%","2.7%","1.9%","14.2%","MS"
"402","Lamar County",NA,"25,413","77.5%","73.9%","7.7%","10.7%",29.9,"2.3%","9.5%","2.1%","20.0%","9.3%",NA,"19,702","N","N","N","N","N","N",NA,"65,026",NA,"72.2%","19.8%","0.0%","0.9%","0.0%","0.5%","6.6%","1.2%","72.2%","MS"
"403","Madison County",NA,"34,982","88.4%","87.1%","13.1%","18.2%",27.2,"2.2%","2.6%","0.1%","27.3%","8.7%",NA,"26,420","10.1%","32.1%","36.9%","13.7%","5.0%","2.3%",NA,"89,191",NA,"62.7%","27.9%","0.0%","3.2%","0.1%","1.0%","5.0%","3.1%","61.2%","MS"
"404","Rankin County",NA,"49,002","81.8%","79.7%","11.9%","14.2%",31.5,"3.8%","4.4%","1.8%","27.0%","9.1%",NA,"34,713","N","N","N","N","N","N",NA,"130,843",NA,"72.3%","19.6%","1.3%","1.0%","0.0%","2.0%","3.8%","2.9%","71.9%","MS"
"405","Columbia 93",NA,"62,833","85.1%","81.5%","13.6%","19.8%",22.9,"3.1%","8.4%","1.8%","18.1%","11.7%",NA,"32,775","N","N","N","N","N","N",NA,"156,995",NA,"75.5%","11.6%","0.1%","5.3%","0.0%","1.3%","6.2%","4.1%","74.1%","MO"
"406","Blue Springs R-IV",NA,"32,497","82.9%","80.9%","12.2%","21.1%",27.5,"3.2%","7.0%","2.5%","28.0%","11.7%",NA,"24,000","N","N","N","N","N","N",NA,"87,685",NA,"77.6%","10.0%","0.1%","1.6%","0.0%","0.5%","10.2%","6.5%","76.3%","MO"
"407","Fort Zumwalt R-II",NA,"45,028","81.1%","78.5%","9.7%","21.1%",30.8,"2.2%","6.5%","2.9%","31.5%","10.1%",NA,"33,251","10.6%","27.4%","39.2%","8.3%","12.6%","1.9%",NA,"119,040",NA,"83.3%","2.7%","0.1%","2.7%","0.0%","1.4%","9.7%","5.8%","82.9%","MO"
"408","Ferguson-Florissant R-II",NA,"27,365","76.0%","74.5%","5.2%","17.1%",29.4,"4.0%","14.9%","2.2%","26.4%","11.5%",NA,"15,786","N","N","N","N","N","N",NA,"65,999",NA,"26.9%","63.6%","0.0%","1.1%","0.0%","2.9%","5.4%","N","N","MO"
"409","Fox C-6",NA,"28,146","83.2%","81.4%","10.5%","17.9%",27,"3.2%","9.9%","0.0%","23.7%","14.8%",NA,"20,559","11.6%","28.4%","39.1%","8.3%","9.6%","3.0%",NA,"74,174",NA,"89.7%","0.7%","0.0%","1.2%","0.0%","0.5%","7.8%","1.8%","89.2%","MO"
"410","Hazelwood",NA,"46,734","80.2%","79.4%","8.7%","13.0%",34.2,"7.2%","14.5%","2.0%","30.7%","14.8%",NA,"29,901","11.6%","40.0%","21.9%","14.2%","9.4%","3.0%",NA,"121,528",NA,"30.2%","57.2%","0.0%","1.6%","0.1%","1.4%","9.6%","3.0%","30.2%","MO"
"411","Independence 30",NA,"42,717","72.3%","70.6%","5.8%","13.0%",39.9,"4.1%","12.3%","3.3%","29.7%","14.9%",NA,"26,161","18.2%","39.1%","23.7%","9.6%","8.2%","1.2%",NA,"98,558",NA,"70.2%","12.3%","0.6%","0.8%","0.6%","4.1%","11.3%","12.2%","68.6%","MO"
"412","Kansas City 33",NA,"95,716","80.1%","77.2%","9.8%","13.6%",22.4,"4.5%","15.0%","6.1%","16.4%","9.2%",NA,"43,006","14.8%","33.5%","31.7%","11.3%","4.7%","3.9%",NA,"207,545",NA,"45.7%","34.4%","1.2%","2.1%","0.2%","6.2%","10.1%","15.2%","43.6%","MO"
"413","Lee's Summit R-VII",NA,"38,306","84.5%","83.1%","13.9%","20.6%",26.9,"3.9%","4.2%","1.1%","28.5%","10.1%",NA,"29,301","10.5%","29.7%","38.8%","8.6%","9.4%","3.0%",NA,"102,715",NA,"80.2%","10.3%","0.5%","1.5%","0.5%","1.6%","5.4%","3.9%","79.7%","MO"
"414","Mehlville R-IX",NA,"39,663","77.0%","74.7%","9.8%","23.7%",37,"5.0%","6.1%","0.8%","29.9%","11.2%",NA,"25,954","15.8%","31.2%","31.8%","8.2%","9.9%","3.2%",NA,"94,368",NA,"86.0%","4.6%","0.0%","1.6%","0.1%","0.3%","7.4%","2.0%","85.8%","MO"
"415","North Kansas City 74",NA,"58,029","82.7%","81.6%","8.1%","13.1%",27.4,"3.5%","8.8%","2.1%","21.1%","10.3%",NA,"37,680","12.5%","32.0%","35.0%","13.2%","6.0%","1.4%",NA,"141,880",NA,"73.5%","11.3%","0.4%","2.5%","0.0%","4.3%","7.9%","10.3%","71.0%","MO"
"416","Park Hill",NA,"29,345","80.8%","78.3%","10.2%","18.9%",26.3,"2.8%","4.2%","2.0%","26.8%","12.7%",NA,"20,395","N","N","N","N","N","N",NA,"74,240",NA,"74.9%","9.9%","0.1%","2.8%","0.2%","1.5%","10.5%","8.5%","71.9%","MO"
"417","Parkway C-2",NA,"59,532","74.4%","73.2%","12.0%","33.1%",33.1,"1.8%","3.7%","1.2%","29.0%","11.7%",NA,"38,001","19.7%","27.2%","37.5%","4.2%","9.8%","1.5%",NA,"142,477",NA,"71.2%","6.1%","0.1%","10.2%","0.1%","1.2%","11.1%","3.4%","70.6%","MO"
"418","Rockwood R-VI",NA,"43,882","81.9%","80.2%","12.6%","35.2%",27.9,"1.8%","4.8%","1.5%","26.1%","11.2%",NA,"34,048","N","N","N","N","N","N",NA,"118,204",NA,"82.5%","2.0%","0.1%","6.8%","0.1%","1.0%","7.5%","3.6%","82.0%","MO"
"419","St. Joseph",NA,"30,444","73.2%","71.0%","8.8%","16.0%",31.6,"6.4%","15.7%","4.0%","28.2%","10.1%",NA,"16,878","15.0%","37.5%","25.5%","9.6%","10.9%","1.5%",NA,"77,702",NA,"81.3%","7.4%","0.9%","1.7%","0.2%","1.7%","6.9%","7.5%","79.8%","MO"
"420","Springfield R-XII",NA,"98,128","77.3%","75.6%","9.8%","15.4%",29.1,"4.0%","11.6%","2.0%","23.2%","11.2%",NA,"50,597","18.9%","31.5%","31.5%","8.4%","7.2%","2.4%",NA,"217,090",NA,"85.5%","1.9%","0.3%","2.3%","0.0%","1.6%","8.4%","4.9%","83.7%","MO"
"421","Francis Howell R-III",NA,"46,461","80.5%","78.7%","8.8%","26.9%",30.8,"2.7%","2.2%","1.0%","29.2%","11.0%",NA,"32,714","12.8%","27.5%","39.2%","8.0%","9.5%","3.0%",NA,"116,392",NA,"87.2%","2.0%","0.1%","3.7%","0.0%","1.4%","5.5%","2.7%","86.9%","MO"
"422","St. Louis City",NA,"139,736","75.0%","73.0%","8.0%","13.9%",24.7,"7.5%","20.4%","2.5%","18.9%","10.5%",NA,"58,947","16.1%","36.0%","28.1%","12.9%","5.0%","1.9%",NA,"293,310",NA,"45.3%","43.7%","0.2%","3.5%","0.1%","1.5%","5.8%","4.4%","44.7%","MO"
"423","Wentzville R-IV",NA,"37,214","83.2%","81.8%","10.4%","20.5%",25.7,"2.5%","5.4%","1.6%","25.6%","11.5%",NA,"28,754","N","N","N","N","N","N",NA,"105,566",NA,"85.0%","4.2%","0.1%","2.6%","0.0%","0.6%","7.5%","2.6%","84.2%","MO"
"424","Clark County",NA,"854,289","76.4%","73.7%","9.3%","14.0%",29.3,"4.4%","16.8%","4.8%","22.1%","18.4%",NA,"541,750","16.5%","35.2%","23.3%","12.3%","8.5%","4.3%",NA,"2,292,476",NA,"43.6%","11.8%","1.3%","10.3%","0.8%","13.7%","18.5%","32.3%","38.7%","NV"
"425","Washoe County",NA,"198,018","77.8%","75.4%","9.5%","20.2%",29,"3.4%","13.4%","3.2%","23.1%","12.7%",NA,"119,548","13.6%","31.2%","32.3%","12.4%","7.9%","2.6%",NA,"493,392",NA,"62.4%","2.5%","0.9%","5.7%","0.7%","13.3%","14.5%","25.9%","59.0%","NV"
"426","Manchester School",NA,"48,649","85.8%","84.8%","7.5%","15.9%",24.5,"5.0%","10.6%","2.4%","17.5%","14.0%",NA,"26,747","10.2%","28.8%","33.1%","14.3%","9.9%","3.7%",NA,"115,470",NA,"73.1%","6.9%","0.1%","3.8%","0.0%","3.5%","12.6%","11.9%","71.6%",NA
"427","Nashua School",NA,"36,986","81.8%","81.0%","6.4%","29.1%",30.9,"3.6%","11.3%","2.9%","23.7%","13.9%",NA,"22,668","12.0%","29.7%","29.0%","12.2%","12.7%","4.4%",NA,"91,122",NA,"71.9%","1.2%","0.5%","9.6%","0.0%","3.1%","13.6%","13.6%","70.9%",NA
"428","Bayonne City School",NA,"28,375","78.9%","75.4%","6.3%","15.6%",28.4,"4.8%","14.7%","1.0%","18.8%","15.4%",NA,"17,486","11.0%","43.2%","22.4%","11.8%","7.5%","4.1%",NA,"69,195",NA,"46.1%","11.4%","0.8%","9.7%","0.0%","6.7%","25.4%","33.5%","42.4%",NA
"429","Brick Township School",NA,"29,280","74.1%","72.7%","7.8%","22.6%",40.8,"3.1%","4.6%","0.9%","34.1%","20.3%",NA,"19,551","15.5%","29.8%","24.0%","15.0%","13.4%","2.3%",NA,"74,904",NA,"84.7%","2.2%","0.4%","0.5%","0.0%","2.8%","9.4%","14.5%","80.3%",NA
"430","Camden City School",NA,"24,276","73.8%","72.4%","6.4%","7.7%",34,"18.7%","43.2%","6.0%","14.1%","23.2%",NA,"16,031","17.4%","52.8%","9.7%","11.6%","2.9%","5.6%",NA,"71,771",NA,"4.4%","38.6%","1.8%","2.0%","0.0%","43.5%","9.6%","59.0%","3.0%",NA
"431","Cherry Hill Township School",NA,"27,421","79.3%","76.9%","11.4%","29.2%",29.7,"3.9%","5.0%","2.2%","25.7%","17.2%",NA,"20,151","N","N","N","N","N","N",NA,"75,476",NA,"64.6%","10.2%","0.4%","13.6%","0.3%","2.1%","8.7%","9.8%","63.2%",NA
"432","Clifton City School",NA,"32,408","80.2%","76.5%","12.5%","23.8%",34.5,"3.4%","14.2%","4.9%","22.9%","15.4%",NA,"22,810","14.4%","25.3%","26.7%","17.5%","10.3%","5.9%",NA,"89,382",NA,"48.8%","6.0%","0.2%","8.8%","0.0%","19.2%","17.0%","39.5%","44.0%",NA
"433","East Orange City School",NA,"28,318","77.2%","75.5%","6.8%","8.5%",28.9,"9.9%","24.6%","4.1%","17.5%","18.3%",NA,"15,897","N","N","N","N","N","N",NA,"68,893",NA,"1.5%","80.0%","0.0%","0.5%","0.0%","8.5%","9.5%","12.1%","0.7%",NA
"434","Edison Township School",NA,"37,780","86.9%","86.3%","6.4%","25.1%",23.6,"3.3%","8.6%","2.9%","19.8%","27.1%",NA,"29,433","7.4%","32.1%","37.1%","7.1%","14.5%","1.9%",NA,"107,636",NA,"26.5%","8.4%","0.2%","52.2%","0.0%","5.1%","7.6%","11.8%","24.9%",NA
"435","Elizabeth City School",NA,"46,107","80.6%","80.0%","8.2%","10.1%",24.8,"6.4%","18.7%","3.2%","9.9%","13.4%",NA,"32,282","12.9%","33.2%","23.4%","15.8%","6.9%","7.8%",NA,"135,405",NA,"20.3%","15.7%","1.0%","2.2%","0.0%","42.5%","18.3%","67.0%","13.2%",NA
"436","Franklin Township School",NA,"27,162","81.4%","81.0%","6.7%","27.2%",28.7,"4.0%","4.9%","2.0%","26.2%","8.3%",NA,"N","N","N","N","N","N","N",NA,"68,431",NA,"29.4%","25.6%","0.0%","28.9%","0.0%","7.4%","8.6%","14.2%","28.4%",NA
"437","Hamilton Township School",NA,"38,672","74.9%","74.2%","5.7%","19.3%",39.7,"3.2%","8.8%","2.8%","34.0%","14.6%",NA,"23,963","15.3%","22.4%","34.1%","11.9%","9.6%","6.6%",NA,"91,605",NA,"69.4%","7.6%","0.0%","7.9%","0.1%","2.1%","12.8%","16.7%","66.7%",NA
"438","Jersey City School",NA,"119,158","81.7%","79.4%","9.5%","17.5%",21.1,"5.5%","17.7%","3.5%","14.9%","10.7%",NA,"66,960","11.1%","33.4%","33.8%","13.3%","5.7%","2.7%",NA,"283,943",NA,"24.4%","21.6%","0.3%","24.7%","0.0%","10.8%","18.2%","27.7%","22.1%",NA
"439","Lakewood Township School",NA,"32,172","75.4%","69.3%","15.1%","36.4%",32,"3.7%","25.1%","4.4%","23.2%","18.5%",NA,"23,659","N","N","N","N","N","N",NA,"138,066",NA,"90.4%","2.0%","0.0%","0.1%","0.0%","1.3%","6.2%","N","N",NA
